Chr,ahya_10k,aken_10k,aspat_10k,ahya_1k,aken_1k,aspat_1k,ahya_20k,aken_20k,aspat_20k,ahya_2k,aken_2k,aspat_2k,ahya_500,aken_500,aspat_500,ahya_5k,aken_5k,aspat_5k,informative_sites
uce-113571,11082,6027,11392,2099,1628,1891,9701,2858,9531,3762,2354,3618,1158,1063,1159,9836,5370,9678,751
uce-113587,11501,7357,15528,1696,970,1868,26806,12295,30802,3271,2025,3571,1131,510,1132,7135,4200,9384,751
uce-113629,10397,2347,9291,1945,896,1906,10569,5199,9689,4034,1623,3911,1159,459,1159,9565,2763,8758,3262
uce-113630,17017,3713,16394,2159,825,2159,16458,3575,15812,4158,834,4159,1159,452,1159,9989,1662,10050,1092
uce-113641,11796,5702,9581,1393,729,1768,12779,4873,10148,2954,1867,2719,866,639,1159,7006,4986,7789,582
uce-113642,13806,3690,11507,2156,912,2158,13248,6345,11099,4065,1973,3646,1159,463,1154,9848,2743,9382,1379
uce-113649,17389,5931,18174,2099,1446,2121,31428,10950,33055,3856,1950,3911,1157,844,1159,10077,3706,9900,1044
uce-113657,11477,1137,11990,2156,877,2159,11276,1394,11046,4159,1416,4159,1152,552,1153,9683,4012,9009,552
uce-113686,17556,11847,17911,2158,1992,2159,30635,14710,32746,4158,3495,4110,1154,1031,1159,8845,6920,9384,656
uce-113692,15680,7788,18374,1533,1051,1905,32685,9892,36265,3012,2000,3577,606,815,899,7361,3953,8990,1937
uce-113723,15886,8129,16871,1994,1679,1991,14352,11454,17607,3922,2537,4066,792,847,907,9144,5260,9582,1057
uce-113724,12286,7828,16836,1853,1103,1628,15119,12682,16989,3555,2767,4006,849,638,791,8546,4363,8351,820
uce-113733,16200,9625,17722,2143,1175,2143,29783,13619,25501,3619,2510,3581,1159,622,1159,7645,5810,8686,1593
uce-113735,9993,4598,10417,1880,1780,2057,8725,5682,10619,4033,2983,3400,883,889,1012,9003,4396,8357,2413
uce-113739,12904,4258,9421,1742,809,1891,13282,3638,7263,3878,1713,3768,864,460,1077,8458,3256,9099,628
uce-113763,17138,8251,17069,2101,1596,2124,32371,14373,32719,3904,2635,3973,1159,968,1158,9442,5401,9542,511
uce-113784,5044,1726,5048,1986,1650,2115,4524,2250,4391,3797,2819,3878,1127,669,1128,4957,2565,5046,1570
uce-1138,14910,6392,17565,2159,1352,2159,22181,13481,26343,3705,1920,3546,1159,921,1159,7347,4197,8908,623
uce-11382,17796,6571,16447,1591,1504,2147,36228,14463,33187,3448,2358,3246,862,1113,977,8832,3983,6679,2633
uce-113825,17691,6767,18786,1876,1626,2080,35799,13330,36749,3674,2517,4070,1131,886,1158,9190,5659,9829,1413
uce-113827,17308,5321,15894,1678,547,1568,31443,9737,30420,3607,846,2632,1047,783,1048,8872,2723,7016,1051
uce-113833,16400,6282,16405,2081,1285,2156,32364,12205,34323,3523,2242,3367,941,754,756,8197,4401,8716,2645
uce-113846,17008,7995,15286,1937,1287,1842,34258,14588,33025,3051,2382,3096,1102,934,1109,8052,5485,7570,1570
uce-113851,17000,9078,16448,2159,1708,2159,26599,18782,22209,4091,2921,4139,1159,898,1159,9736,5753,9854,661
uce-113852,18526,5000,18751,2158,802,2158,33488,7887,33822,4158,1062,4158,1146,488,1147,9973,2499,9765,988
uce-113878,14117,6392,12155,2134,1236,1842,14683,7246,12403,4084,1940,3725,1034,595,985,9624,5382,8665,1101
uce-113949,18367,3048,18952,2136,1315,2158,31327,8010,30669,4142,1394,4107,1147,557,1159,8822,2055,9312,1739
uce-114018,16136,7516,16241,2089,1014,2007,31522,12539,33606,2990,1824,2992,985,663,952,6755,4707,7561,792
uce-114059,19031,7082,19525,2153,1383,2159,21465,7892,21859,4128,2252,4135,1159,882,1159,10113,3098,10153,2104
uce-114063,5341,2222,5490,2156,714,2159,4196,1629,3608,3847,1295,3804,1159,587,1147,4776,1472,4724,692
uce-114069,15511,10335,16167,2070,1498,2005,29704,18759,28815,3934,2153,4144,1154,716,1159,7670,5093,8957,1380
uce-114099,18400,9158,18902,2157,844,2159,35319,12889,35604,3972,1183,4153,1159,546,1159,9920,2875,10147,904
uce-114104,11620,8371,11693,2115,1983,2121,10539,6416,11008,4115,3794,4134,1115,1157,1118,9790,7823,10005,1717
uce-114114,16569,9997,15420,2020,1619,1979,33301,17820,30916,3436,2777,3712,1156,1040,1159,9526,6037,7965,1547
uce-114124,14679,6965,14925,2111,767,2157,27795,13804,26042,3990,1336,4050,1139,658,1136,8054,4188,7104,1026
uce-11413,18043,9723,18141,2097,1181,1961,31640,18434,31805,3952,2273,3691,1159,650,1153,8824,4570,9100,1200
uce-114142,18508,8570,19170,2035,822,2159,32946,18132,31577,4149,1210,4152,1157,474,1159,9850,3751,9994,1049
uce-114144,18503,9560,18478,1444,1420,1446,35801,16402,33258,3612,2582,3935,829,546,804,9465,5334,9822,1168
uce-114184,16934,9985,13671,1892,1897,1970,22480,20931,25941,3540,3768,3928,1108,1152,1112,8767,6687,9331,1571
uce-114203,19875,11931,19699,2157,1456,2157,38610,21605,37965,4156,2492,4159,1157,702,1159,10153,5502,10138,768
uce-114221,13353,9641,14115,2158,1572,2159,10187,9198,15275,3271,2765,3939,1156,1119,1159,7842,5986,8988,979
uce-114242,15419,8803,16993,1064,1401,1313,27885,13408,33901,3061,2910,3732,607,536,739,8675,4169,8608,4993
uce-114332,16215,8616,15323,2117,1483,1714,26695,14418,27640,4130,2464,3232,1159,761,758,9714,5889,8610,2008
uce-1144,18300,7352,19003,1895,1538,1983,31869,11928,37635,3928,2429,4011,1148,563,1159,9315,4386,9431,1389
uce-114531,18661,9173,16415,2154,724,2158,35025,9126,34133,4057,1121,3860,1154,466,1159,9722,3294,8732,1050
uce-114533,19228,7346,19188,2159,1490,2159,30563,11315,35069,4159,1998,4159,1159,915,1159,10152,3051,10159,877
uce-114554,15789,8541,14052,1892,1751,1457,28667,13028,28847,3893,3010,2791,952,896,957,9192,5163,8034,1278
uce-114560,5851,1259,5995,2159,805,2159,5701,3261,5999,4153,872,4147,1159,791,1159,5905,880,5970,680
uce-114580,5660,1982,6600,1749,1143,1785,5446,2017,2971,3411,1798,3773,1157,518,1159,5335,2183,6740,982
uce-114590,19406,7399,17721,2155,1278,2034,36638,9532,26150,4153,2399,3757,1156,849,1155,10146,5525,9703,741
uce-114592,15971,6696,17261,1929,1602,1924,20298,13188,26820,3187,1894,3109,1061,1040,1061,7785,3983,8953,494
uce-114628,20146,12677,20159,2159,1491,2159,21629,8393,22107,4159,3334,4159,1159,720,1132,10159,7234,10159,573
uce-114629,19337,9149,18546,2124,633,2124,20954,7136,19813,3934,1025,3852,1159,516,1159,10133,3986,9532,750
uce-114637,11674,3093,12023,2092,917,2111,25096,9450,19236,4146,1877,3783,1103,741,1103,8629,4084,7545,1033
uce-114665,18070,7919,19007,2082,1628,2095,31646,14643,34487,3843,2976,4022,1117,784,1117,9389,4974,9787,1167
uce-114735,17756,5275,17947,2147,884,2159,31506,11707,34035,3940,1919,4155,1122,569,1131,8963,2817,10010,3936
uce-114766,16366,9909,18263,1661,1382,1426,33351,15704,35946,2839,2358,3704,891,805,865,7990,6076,9500,1346
uce-114793,19065,8802,18495,2148,812,2103,26988,15178,32969,4147,1504,4100,1158,545,1158,9585,3885,9472,1233
uce-114806,19198,8445,17939,2030,1503,2029,34640,13586,35305,3970,2374,4141,1090,729,1114,9744,4888,9551,869
uce-11481,16640,10131,16262,1983,1129,1933,13840,11959,11650,3890,2257,3597,978,680,929,8908,5921,9582,1464
uce-11487,19329,6780,19521,2158,1097,2159,35379,11806,37497,3840,2321,3966,1138,917,1140,9881,3750,10106,1791
uce-114873,14152,6565,13392,1805,1201,1889,28123,15140,25197,3342,2326,3564,1159,690,1157,8403,5824,9002,790
uce-114885,12866,7016,13340,2002,1389,2131,27094,16226,29005,3777,2574,4097,1058,907,1037,7606,4973,7484,1712
uce-114890,18396,7767,19130,2159,1041,2159,36279,13526,38247,4053,1660,4122,1159,567,1157,9119,4249,9786,582
uce-114895,17333,7803,17059,1865,1444,1820,29088,9214,33387,4037,2858,3407,1134,739,1087,8505,5677,6768,713
uce-114901,19086,10234,19315,2069,993,2155,32518,17149,34919,3962,1518,3911,1081,506,1159,9983,4165,10030,1709
uce-114911,15476,6152,16720,1896,1111,1925,23029,10207,25408,3601,1666,3581,959,813,947,7945,4299,8945,670
uce-11497,18804,9082,15261,2157,1245,2159,33836,15906,26966,4064,1534,4137,1157,671,1159,9924,5276,7856,1311
uce-114973,3841,7936,4874,2005,1019,1718,4752,4964,6070,3995,1781,3680,1159,505,1091,4308,4566,5514,3403
uce-115011,15649,9232,15332,1637,1753,1605,20281,8905,20959,3729,2908,3548,650,1020,686,8932,6378,8511,1114
uce-115054,11764,6638,11878,2157,1262,2158,13419,8357,10379,3982,2100,4035,1157,791,1159,8717,4832,9219,1369
uce-115056,12776,4340,12475,1625,820,1642,11446,5855,12714,3650,1237,3713,701,693,693,9199,3730,9720,1112
uce-115074,3028,1690,3308,2159,1086,1872,3321,2337,3518,3888,1209,3941,1159,777,1158,3870,1607,4379,467
uce-115088,13035,7688,17518,2159,1252,2159,29127,17641,35280,3465,2021,4042,1158,716,1159,7036,4347,9408,2502
uce-11510,17653,7306,18923,2157,1046,2146,34231,15242,35171,4068,1779,4070,1159,711,1043,9943,4741,9758,723
uce-115105,16734,3864,16268,2142,1057,2141,15405,8139,14485,4143,1095,4136,1143,715,1143,10154,2342,10158,839
uce-115113,17352,11369,18758,2158,1566,2158,32727,21967,33138,4032,2687,4012,1159,609,1159,9577,6742,9574,472
uce-115194,18126,8904,18570,1974,1339,1830,22057,8169,20165,3834,2518,3711,1156,828,1156,9133,5301,9352,811
uce-115252,14991,6497,13838,2152,1076,1893,27527,12410,27999,4134,1765,3879,1154,469,916,9064,3459,8053,2503
uce-115300,14361,9210,15518,2159,1663,2159,30134,13652,26096,3943,3002,4045,1159,1010,1159,8560,5224,9672,902
uce-115321,17741,6404,18246,1787,770,1792,32621,14314,35344,4099,1232,4067,1157,634,1159,9123,2624,9185,499
uce-115324,16920,9354,17273,2075,1545,2078,33071,15032,34836,3849,2565,3841,957,894,931,9570,5834,9174,1824
uce-115364,17728,7500,18741,2005,1095,1774,34754,12171,35143,3638,2074,3643,1159,842,1149,8801,5251,9587,2846
uce-11539,19852,9181,19867,2145,1594,1952,38407,13996,38294,4151,2383,3876,1154,936,1159,9795,5005,9974,2747
uce-115439,17689,8471,17416,1886,1679,1779,36817,16244,34821,4013,2766,3836,1145,1018,1111,8465,5564,8013,750
uce-115463,17823,5354,19364,1667,1100,2060,34821,11570,34005,3790,2033,3966,923,743,1066,8758,3492,9635,1773
uce-115465,18805,9588,17840,2075,1067,2006,37911,16915,35607,3930,1960,3877,1137,596,1143,9755,4650,9376,1226
uce-115477,18463,5290,19696,1930,1485,2159,37499,9606,39099,4017,2364,4159,926,1130,1159,9724,4384,10126,933
uce-115534,8427,6496,9358,1647,1408,1547,8200,7136,8482,3125,2421,3604,1077,666,1074,8261,3872,8559,2311
uce-115538,15171,8836,17077,1658,1064,1832,30335,14192,32791,3434,2125,3678,1156,938,1143,8569,5404,9016,771
uce-115566,15623,8388,17796,1919,1209,1935,27708,11537,31128,3630,2516,3674,1143,714,1158,7629,4759,9174,2374
uce-115602,18549,7497,17852,2006,1674,1865,27374,6493,24775,3932,2356,3945,1159,872,1159,9468,5025,9444,998
uce-115615,18762,5326,18269,1746,1142,1881,33786,8907,34622,4151,1651,3878,977,468,917,9521,3175,9633,1296
uce-115622,15200,8466,14929,2159,1385,2159,26429,17230,29004,3672,2163,3791,1159,518,1159,8367,4529,9040,614
uce-115625,17563,3161,16292,1237,762,1293,22218,8062,26033,2776,1949,2842,732,509,740,8900,3722,9311,923
uce-115634,19088,8825,16674,2103,1516,2158,36314,14195,31094,4059,2375,4111,1112,837,1158,9915,4021,7611,1554
uce-115664,13803,2673,13677,2158,1590,2159,12193,4499,12674,4158,1603,4159,1159,1151,1159,10022,2539,9981,496
